"Durata","Titolo","Valutazione","Data di uscita","Regia"
"2h 22min","Le ali della libertà","9,3","10 febbraio 1995 (Italia)","Frank Darabont"
"2h 55min","Il padrino","9,2","21 settembre 1972 (Italia)","Francis Ford Coppola"
"2h 32min","Il cavaliere oscuro","9,0","23 luglio 2008 (Italia)","Christopher Nolan"
"3h 22min","Il padrino - Parte II","9,0","25 settembre 1975 (Italia)","Francis Ford Coppola"
"1h 36min","La parola ai giurati","9,0","4 settembre 1957 (Italia)","Sidney Lumet"
"3h 15min","Schindler's List","9,0","11 marzo 1994 (Italia)","Steven Spielberg"
"3h 21min","Il Signore degli Anelli - Il ritorno del re","9,0","22 gennaio 2004 (Italia)","Peter Jackson"
"2h 34min","Pulp Fiction","8,9","28 ottobre 1994 (Italia)","Quentin Tarantino"
"2h 58min","Il Signore degli Anelli - La compagnia dell'Anello","8,8","18 gennaio 2002 (Italia)","Peter Jackson"
"2h 41min","Il buono, il brutto, il cattivo","8,8","23 dicembre 1966 (Italia)","Sergio Leone"
"2h 22min","Forrest Gump","8,8","6 ottobre 1994 (Italia)","Robert Zemeckis"
"2h 19min","Fight Club","8,8","29 ottobre 1999 (Italia)","David Fincher"
"2h 59min","Il Signore degli Anelli - Le due torri","8,8","16 gennaio 2003 (Italia)","Peter Jackson"
"2h 28min","Inception","8,8","24 settembre 2010 (Italia)","Christopher Nolan"
"2h 4min","L'Impero colpisce ancora","8,7","19 settembre 1980 (Italia)","Irvin Kershner"
"2h 16min","Matrix","8,7","7 maggio 1999 (Italia)","Lana Wachowski"
"2h 25min","Quei bravi ragazzi","8,7","20 settembre 1990 (Italia)","Martin Scorsese"
"2h 13min","Qualcuno volò sul nido del cuculo","8,7","18 marzo 1976 (Italia)","Milos Forman"
"2h 7min","Seven","8,6","15 dicembre 1995 (Italia)","David Fincher"
"3h 27min","I sette samurai","8,6","19 agosto 1955 (Italia)","Akira Kurosawa"
"2h 10min","La vita è meravigliosa","8,6","11 marzo 1948 (Italia)","Frank Capra"
"1h 58min","Il silenzio degli innocenti","8,6","5 marzo 1991 (Italia)","Jonathan Demme"
"2h 10min","City of God","8,6","9 maggio 2003 (Italia)","Fernando Meirelles"
"2h 49min","Salvate il soldato Ryan","8,6","30 ottobre 1998 (Italia)","Steven Spielberg"
"1h 56min","La vita è bella","8,6","20 dicembre 1997 (Italia)","Roberto Benigni"
