"Spese condominio","Zona","Anno costruzione","Locali","Costo","Superficie","Città","Nome"
"€ 140/mese","Nuovo Salario","1970","5","€ 509.000","165
 m²","Roma","Appartamento via dei Prati Fiscali 258, Nuovo Salario, Roma"
"Nessuna spesa condominiale","Dragona","2000","2","€ 139.000","55
 m²","Roma","Bilocale via Bonfiglio da Cesena, Dragona, Roma"
"€ 50/mese","Cinecittà","1980","2","€ 219.000","70
 m²","Roma","Bilocale via Libero Leonardi 130, Cinecittà, Roma"
"","","","","","","",""
"€ 200/mese","Bologna","1940","5+","€ 920.000","190
 m²","Roma","Appartamento via Ravenna, Bologna, Roma"
"€ 85/mese","Tintoretto","1997","3","€ 419.000","129
 m²","Roma","Trilocale viale Aldo Ballarin 170, Tintoretto, Roma"
"","Castelverde","1980","4","da € 97.500,00","65
 m²","Roma","Villetta a schiera all'asta via Alanno, 10, Roma"
"","Talenti - Monte Sacro","2018","2","€ 268.000","45
 m²","Roma","Bilocale via Giuseppe Giacosa, Talenti - Monte Sacro, Roma"
"Nessuna spesa condominiale","Labaro","1985","4","€ 289.000","111
 m²","Roma","Quadrilocale via Giovanni Paraccini, Labaro, Roma"
"€ 125/mese","Ottavia","1980","4","€ 360.000","136
 m²","Roma","Quadrilocale via di Casal del Marmo 120, Ottavia, Roma"
"€ 70/mese","Romanina","2004","3","€ 265.000","90
 m²","Roma","Trilocale via Alfredo Ascoli, Romanina, Roma"
"€ 80/mese","San Basilio","1990","4","€ 270.000","86
 m²","Roma","Quadrilocale piazza Gaspare Ambrosini, San Basilio, Roma"
"€ 50/mese","Tomba di Nerone","1980","","€ 69.000","29
 m²","Roma","Monolocale via raffaele stasi, Tomba di Nerone, Roma"
"€ 50/mese","Camilluccia - Farnesina","1965","2","€ 189.000","50
 m²","Roma","Bilocale via Luigi Credaro, Camilluccia - Farnesina, Roma"
"€ 48/mese","Esquilino","1800","3","€ 399.000","119
 m²","Roma","Trilocale via Principe Amedeo 168, Esquilino, Roma"
"€ 50/mese","Alessandrino - Torre Spaccata","","3","€ 249.000","95
 m²","Roma","Trilocale via dei Salici, Alessandrino - Torre Spaccata, Roma"
"","","","","","","",""
"Nessuna spesa condominiale","Malafede","","3","€ 189.000","89
 m²","Roma","Trilocale via Giorgio De Lullo 130, Malafede, Roma"
"€ 500/mese","Parioli","1957","5+","€ 2.000.000","255
 m²","Roma","Appartamento via di San Valentino, Parioli, Roma"
"€ 163/mese","Labaro","","3","€ 295.000","115
 m²","Roma","Trilocale via Arta Terme, Labaro, Roma"
"€ 50/mese","Trastevere","1600","2","€ 315.000","38
 m²","Roma","Bilocale vicolo del Leopardo, Trastevere, Roma"
"€ 105/mese","Mazzini - Delle Vittorie","1900","3","€ 550.000","105
 m²","Roma","Trilocale viale Angelico, Mazzini - Delle Vittorie, Roma"
"","Campo de' Fiori","1967","2","da € 273.750,00","70
 m²","Roma","Appartamento all'asta via del Pellegrino 84, Roma"
"€ 70/mese","Pigneto","1950","3","€ 165.000","68
 m²","Roma","Trilocale largo Bartolomeo Perestrello, Pigneto, Roma"
"","","","","","","",""
"€ 48/mese","Talenti - Monte Sacro","1970","2","€ 198.000","60
 m²","Roma","Bilocale via Ugo Ojetti 52, Talenti - Monte Sacro, Roma"
"Nessuna spesa condominiale","Rocca Cencia","1980","2","€ 129.000","100
 m²","Roma","Bilocale via del Lago Regillo 40, Rocca Cencia, Roma"
"€ 50/mese","Città Giardino","1950","2","€ 210.000","75
 m²","Roma","Bilocale via Nomentana Nuova, Città Giardino, Roma"
"Nessuna spesa condominiale","Garbatella","1950","2","€ 249.000","80
 m²","Roma","Bilocale via Francesco Orazio da Pennabilli, Garbatella, Roma"
"€ 80/mese","Cinecittà","1980","4","€ 328.000","125
 m²","Roma","Quadrilocale via Bruno Pelizzi 161, Cinecittà, Roma"
