"Address","Town","Sector","Revenue","Name"
"Via Maurizio Gonzaga 5","Milano","E-commerce","7.337","Winelivery S.r.l."
"Via Damiano Chiesa 53","Bitritto","Servizi generali","8.375","Pegaso Security S.r.l."
"Via Maurizio Gonzaga 5","Milano","E-commerce","7.337","Winelivery S.r.l."
"Via Damiano Chiesa 53","Bitritto","Servizi generali","8.375","Pegaso Security S.r.l."
" "," ","Vendita al dettaglio & all'ingrosso","13.889","Euro Top Brand S.r.l.s."
" "," ","Energia","3.585","Infinityhub S.p.A. Benefit"
" "," ","Servizi finanziari","11.302","Credimi S.p.a."
" ","Treviglio","Vendita al dettaglio & all'ingrosso","5.722","H.K.Trading S.r.l."
" "," ","Servizi generali","2.496","CheTariffa.it"
" ","Napoli","Pubblicità & marketing","4.009","Spin Up S.r.l."
" "," "," ","6.945","Tsunami Nutrition S.r.l."
" ","Faenza","Servizi generali","43.195","Consorzio Blu Soc. Coop. Sociale"
" ","Caserta","Sanità","6.394","Eukon S.r.l."
" "," ","Pubblicità & marketing","14.176","Evolution Adv S.r.l."
" ","Milano","E-commerce","109.248","Everli S.p.A."
" "," ","Farmaceutica","20.151","eFarma Group S.r.l."
" ","Prato","Beni personali","4.459","Rebecca S.r.l."
" "," ","Moda","4.898","World Trade Group S.r.l."
" "," ","Beni personali","3.500","Cbweed S.r.l."
" "," "," "," ",""
" ","Imola","Pubblicità & marketing","5.765","MyAppFree S.p.A."
" "," ","Pubblicità & marketing","1.880","Marketers Company S.r.l."
" "," ","Beni personali","2.852","Sbamm S.r.l."
" ","Roma","Tecnologia","10.050","Filo S.r.l."
" "," ","Immobiliare","1.604","Homepal A Better Place S.r.l."
" ","Firenze","Servizi generali","6.710","Treedom S.r.l. SB"
" "," ","Bellezza & igiene","1.831","Gyada Cosmetics S.r.l."
" "," ","Consulenza aziendale","3.230","Increso S.r.l."
" ","Firenze","Trasporti & logistica","8.873","LSG - Logistic & Service Group S.r.l."
" "," ","Alimentari & bevande","4.892","Pinsalab S.r.l."
" ","Tirano","Servizi generali","2.016","Comservice S.r.l."
" ","Brescia","Prodotti industriali","2.997","Falcor S.r.l."
" ","L'Aquila","Vendita al dettaglio & all'ingrosso","1.569","Audiosalus S.r.l."
" "," ","Farmaceutica","26.633","Theras Biocare S.r.l."
" "," ","Tecnologia","7.387","Tantosvago S.r.l."
" "," ","Sanità","4.436","Cura Farma S.r.l."
" ","Villaricca","Vendita al dettaglio & all'ingrosso","2.806","C.D. S.r.l."
" ","Fabriano","E-commerce","2.108","Savait S.r.l."
" ","Mariano Comense","Sanità","11.586","Multix solutions S.r.l."
" "," ","Automobili","18.026","Podium Engineering S.r.l."
" ","Milano","Consulenza aziendale","18.939","Soluzione Tasse S.p.A."
" "," ","Costruzioni & impiantistica","3.942","Gemco S.r.l."
" "," ","Costruzioni & impiantistica","6.740","4Streets S.r.l."
" "," ","Alimentari & bevande","9.022","Serre S.r.l."
" "," ","Tecnologia","3.917","Sixth Sense S.r.l."
" ","Limena","Sicurezza informatica","3.961","Nethive S.p.A."
" "," ","Tecnologia","4.253","The Information Lab Italia S.r.l."
" ","Roma","Tecnologia","3.956","Wakala S.r.l."
" "," ","Tecnologia","7.320","Tecma Solutions S.p.A."
" ","Milano","Pubblicità & marketing","2.993","Instilla S.r.l."
" "," ","Costruzioni & impiantistica","6.789","SPC General Service S.r.l."
" "," ","Tecnologia","6.516","Mia S.r.l."
" "," ","Sanità","9.552","Tecnimed S.r.l."
" "," ","Costruzioni & impiantistica","45.278","Consorzio Stabile Medil S.c.p.a."
" "," ","Vendita al dettaglio & all'ingrosso","2.746","Gco S.r.l."
" ","Roma","Consulenza aziendale","25.667","NexumStp S.p.A."
" "," ","Sanità","3.510","K Link S.r.l."
" ","Formello","Tecnologia","1.901","Egomnia S.r.l."
" "," "," ","4.683","Contrader S.r.l."
" ","Cornedo Vicentino","Costruzioni & impiantistica","4.528","Sirive S.r.l."
" ","Milano","Pubblicità & marketing","2.072","Chef in Camicia S.r.l"
" "," "," ","4.619","Auto Zago S.r.l."
" "," ","Prodotti agricoli","2.857","Agricodem S.r.l."
" "," ","E-commerce","32.039","Brandon Group S.r.l."
" ","Saccolongo","Prodotti industriali","5.150","Soprano S.r.l."
" ","Lecce","Sanità","2.701","Pharmagrin S.r.l."
" "," ","Viaggi & tempo libero","1.990","BizAway S.r.l."
" ","Montecatini Terme","Moda","4.284","Morpheus Advisor S.r.l."
" "," ","E-commerce","7.790","I.G.L.M. Electronic S.r.l."
" "," "," ","4.131","Enerbrain S.r.l."
" "," "," "," ","LMG Building S.r.l."
" "," ","Telecomunicazioni","8.208","MG Project S.r.l."
" "," ","Viaggi & tempo libero","3.059","OY International S.r.l."
" "," ","E-commerce","2.051","Banale S.p.A."
" "," ","Farmaceutico","2.557","Esserre Pharma S.r.l."
" "," ","Energia","35.126","EnerFin S.r.l."
" "," ","Vendita al dettaglio & all'ingrosso","1.994","Mr. Christmas S.r.l."
" "," ","Trasporti & logistica","18.168","Mega Trasporti S.r.l."
" ","Pianiga","Arredamento","3.598","Stufe A Pellet Italia S.r.l."
" "," ","Telecomunicazioni","3.174","Global Work S.r.l."
" "," ","Automobili","21.818","Abc Rent S.r.l."
" "," ","Prodotti industriali","2.344","Mazzoni Etech S.r.l."
" "," ","Consulenza aziendale","2.943","Business Analysis & Legal Expertise - B.A.L.E. S.r.l."
" ","Termoli","Consulenza aziendale","1.741","Studio Eko' S.r.l."
" "," ","Servizi generali","4.641","Gallas Group S.r.l."
" "," ","E-commerce","22.953","Etracom S.r.l."
" "," ","Sanità","7.264","Labevolution S.r.l."
" "," ","Arredamento","3.401","Kuadra S.r.l."
" "," ","Automobili","2.988","Romar S.r.l."
" "," ","Costruzioni & impiantistica","3.004","S.F.R.E. S.r.l."
" ","Grezzana","Smaltimento rifiuti & riciclaggio","2.037","Falzi S.r.l."
" "," ","Costruzioni & impiantistica","4.298","Il Cantiere Costruzioni S.r.l."
" ","Velletri","Automobili","1.842","FC Motors S.r.l. Unipersonale"
" "," ","Smaltimento rifiuti & riciclaggio","6.673","GEA Service S.r.l."
" "," ","Tecnologia","5.582","Gellify S.r.l."
" "," "," ","22.073","Westrafo S.r.l."
" "," ","Servizi generali","4.267","Multiservice Ambrosiana S.r.l."
" "," ","Sanità","58.423","Gruppo Gheron S.r.l."
" "," ","Pubblicità & marketing","7.318","Voice S.r.l."
" "," ","Tecnologia","1.696","DyFlowing S.r.l."
" "," ","Costruzioni & impiantistica","9.694","SVS S.r.l."
" "," ","E-commerce","16.089","e-Pol S.r.l. Unipersonale"
" "," ","Istruzione & formazione","9.018","Dynamicom Education S.r.l."
" "," ","Arredamento","2.800","Ideal Ceramiche di Giacomo La Russa Srl"
" "," ","Servizi generali","3.581","Prometeo S.r.l."
" "," ","Prodotti industriali","2.297","Zara S.r.l."
" ","Impruneta","Sanità","4.829","Isimed S.r.l."
" ","Popoli","E-commerce","4.842","Piscor Srl"
" "," ","Automobili","5.083","Marwincar S.r.l."
" "," ","Costruzioni & impiantistica","5.912","Alloni Impianti S.r.l."
" "," ","Tecnologia","15.901","VmWay S.r.l."
" "," "," "," ","Benefind S.r.l."
" "," ","Servizi generali","2.310","AB Oil & Gas Service S.r.l."
" "," ","Servizi generali","1.601","Macingo Technologies S.r.l."
" "," ","Telecomunicazioni","3.769","Start S.r.l."
" "," ","Sanità","40.391","Ames Centro Polidiagnostico Strumentale S.r.l."
" "," "," ","3.249","Arcadia Italia S.r.l."
" "," "," ","4.604","Travaglini Costruzioni S.r.l."
" ","Milano","Tecnologia","10.827","Ayes S.r.l."
" "," ","Pubblicità & marketing","2.719","BrandUp Group S.r.l."
"Via Carlo Espinasse 163","Milano","Servizi finanziari","4.168","Business Innovation Lab S.p.A."
