"IPO Year","Number of Employees","Country","CEO","Founded Year","Market Value","Name"
"1980","154,000","USA","Tim Cook","1976","2,825.00 Billion USD","APPLE"
"1986","182,268","USA","Satya Nadella","1975","2,358.00 Billion USD","MICROSOFT CORPORATION"
"","79,800","Saudi Arabia","Amin H. Al-Nasser","1933","1,889.60 Billion USD","SAUDI ARABIAN OIL COMPANY (Saudi Aramco)"
"2004","156,500","USA","Sundar Pichai","2015","1,820.00 Billion USD","ALPHABET"
"1997","1,335,000","USA","Andy Jassy","1994","1,649.00 Billion USD","AMAZON.COM"
"2010","99,290","USA","Elon Musk","2003","1,031.00 Billion USD","TESLA"
"2012","77,805","USA","Mark Zuckerberg","2004","922.96 Billion USD","META PLATFORMS"
"","372,000","USA","Warren Buffett","1839","711.75 Billion USD","BERKSHIRE HATHAWAY"
"1999","18,975","USA","Jensen Huang","1993","679.00 Billion USD","NVIDIA CORPORATION"
"","65,152","Taiwan","C. C. Wei","1987","640.48 Billion USD","TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC)"
"","112,771","China","Ma Huateng","1998","545.36 Billion USD","TENCENT"
"","271,025","USA","Jamie Dimon","2000","494.00 Billion USD","J P MORGAN CHASE & CO"
"","21,500","USA","Alfred F Kelly Jr","1958","471.63 Billion USD","VISA"
"","141,700","USA","Joaquin Duato","1886","457.94 Billion USD","JOHNSON & JOHNSON"
"","113,753","South Korea","Kim Hyun Suk
Koh Dong-Jin
Kim Ki Nam","1969","438.84 Billion USD","SAMSUNG ELECTRONICS"
"","350,000","USA","Andrew Witty","1977","431.93 Billion USD","UNITEDHEALTH GROUP"
"","500,000","USA","Craig Menear","1978","411.02 Billion USD","HOME DEPOT"
"","150,000","France","Bernard Arnault","1987","409.48 Billion USD","LVMH"
"","208,000","USA","Brian Moynihan","1998","402.49 Billion USD","BANK OF AMERICA CORPORATION"
"","2,300,000","USA","Doug McMillon","1962","401.91 Billion USD","WALMART"
"","101,000","USA","Jon R. Moeller","1837","393.82 Billion USD","PROCTER & GAMBLE COMPANY"
"","29,031","China","Li Bao Fang","1999","382.35 Billion USD","KWEICHOW MOUTAI"
"","276,000","Switzerland","Ulf Mark Schneider","1866","372.72 Billion USD","NESTLE AG"
"2006","24,000","USA","Michael Miebach","1966","363.20 Billion USD","MASTERCARD"
"","100,920","Switzerland","Severin Schwan","1896","356.15 Billion USD","ROCHE HOLDING AG"
"2014","251,462","China","Daniel Zhang","1999","351.90 Billion USD","ALIBABA GROUP HOLDING"
"","78,500","USA","Albert Bourla","1849","312.75 Billion USD","PFIZER"
"1995","28,000","Netherlands","Peter Wennink","1984","307.33 Billion USD","ASML HOLDING"
"","64,000","USA","Darren Woods","1999","291.61 Billion USD","EXXON MOBIL CORPORATION"
"","190,000","USA","Bob Chapek","1923","286.88 Billion USD","THE WALT DISNEY COMPANY"
"","366,283","Japan","Akio Toyoda","1937","276.74 Billion USD","TOYOTA MOTOR CORPORATION"
"","80,300","USA","James Quincey","1892","260.59 Billion USD","COCA-COLA COMPANY"
"1990","79,500","USA","Chuck Robbins","1984","257.82 Billion USD","CISCO SYSTEMS"
"2009","20,000","USA","Hock E. Tan","1991","255.63 Billion USD","BROADCOM"
"","23,874","Netherlands","Bob van Dijk","1997","254.55 Billion USD","PROSUS"
